Миколи Хвильового вулиця	вулиця Миколи Хвильового
Мирослава Скорика вулиця	вулиця Мирослава Скорика
Мирослави вулиця	вулиця Мирослави
Миру вулиця	вулиця Миру
Миру Вулиця	вулиця Миру
Митрополита Андрея Шептицького вулиця	вулиця Митрополита Андрея Шептицького
Митрополита Шептицького вулиця	вулиця Митрополита Шептицького
Михайла Вербицького вулиця	вулиця Михайла Вербицького
Михайла Гаврилка вулиця	вулиця Михайла Гаврилка
Михайла Глінки вулиця	вулиця Михайла Глінки
Михайла Грушевського вулиця	вулиця Михайла Грушевського
Михайла Драй-Хмари вулиця	вулиця Михайла Драй-Хмари
Михайла Коцюбинського вулиця	вулиця Михайла Коцюбинського
Михайла Тележинського вулиця	вулиця Михайла Тележинського
Міцкевича вулиця	вулиця Міцкевича
